编号,今地名,古地名,地点名胜,经度,纬度
9783dd3efa5a7d275041e47375f1f12e,邛崃,剑南道,,103.4654411,30.4145205
b80e96af1f499165a0d34573841bf8e5,邛崃,剑南道北部,,103.4654411,30.4145205
f4ea34e6c989fa035d0380fd1c666fb3,崇州,剑南道,,103.6722448,30.6256088
b279cb87ef6c61f71196656e3df3e4f4,崇庆,剑南道,,98.6198687,29.5086783
24153b00992c9687f95171c00315bbe3,崇庆,剑南道北部,,98.6198687,29.5086783
57ad7a3b5276874ef75d3a0d52ab5c71,金堂,剑南道,三学山,104.6158195,30.7350928
23c2cc0017effb55dac6603634a3ce66,金堂,剑南道,昌利山,135.7763902,34.9880990
ef42d97fc663a59955fd94625b31c12a,金堂,剑南道,云顶山,104.4841674,30.7436329
57945006fd7ee4cd49cefc8c4417c028,新都,剑南道,,104.1756642,30.8230263
94a853032350720f7255a955fcbb5168,新津,剑南道,岷江,119.2781322,26.0320192
d0ac019d707cbb325d23f5aeed52369e,新津,剑南道,修觉寺,139.1209935,37.8000262
517490da50193c3be2754a4b0af0f592,南陵,江南西道,,118.3288410,30.9169161
ac7cdf55acd834899d89a2e246be0031,南陵,江南西道,西江,114.8081019,25.7313950
f92d9d7a1849ca34c3ba1e3ace85e7ce,南陵,江南西道,五松山,118.3288410,30.9169161
405ee7fd084aa237031c5189a9f5cc7c,南陵,江南西道,铜官山,135.7515160,35.0277929
36831b182fb0e1b18a1996b57160a8a0,南陵县,江南西道,,118.3288410,30.9169161
0d65044f291a589034566acb6a779bf5,芜湖南陵,江南西道,,113.0670006,28.2051274
96dae49ab5af75de512b2c62d4f963df,南陵,江南西道,灵山寺;宁国县女儿山；石埭县回驴岭,118.3288410,30.9169161
f73c45580c740205e281b6cdadfe82af,繁昌,江南西道,灵山寺,141.4928992,40.5042895
8e023e53a14852911660f462aa8d647f,芜湖县,江南西道,,118.5661419,31.1625915
56793a0020db75eada05c9730e75a00f,固原,关内道,陇山关,119.4051914,36.8439594
95b55440119d2a6d54a13b747f349b96,固原,关内道,白草原,118.7385652,32.0561974
7a168e11d49d5d636920e1e58c8c47ac,三门峡,都畿道,,111.0489969,34.4228647
dff7f50b3bb3c7fe8a116c396f1f9188,三门峡,,,111.0489969,34.4228647
523039536f2facb2c8ef496d795d3462,三门峡,都畿道,西城门外虾蟆泉,111.0489969,34.4228647
13abe0e0a45e8bca535085879246d498,三门峡,都畿道,函谷关,110.9096637,34.6129387
70bc74ad08bec619049094d24af69d5c,三门峡市,都畿道,,111.0489969,34.4228647
bec93a3789282aa2002898b651e36ee8,灵宝,河东道,,110.8906495,34.5106864
6a07b3a3b8b547f457bf93ec0bc042b5,灵宝,都畿道,嵩山,118.8629106,32.0576780
